feature,coef,abs_coef,direction
transunion,2.9940368758694413,2.9940368758694413,positive
midland,2.793706751523472,2.793706751523472,positive
fraudulent inquiries,1.9808799056496569,1.9808799056496569,positive
impacted data,1.91457937313078,1.91457937313078,positive
paypal,1.9088797455873436,1.9088797455873436,positive
fee,1.8667500122174863,1.8667500122174863,positive
overdraft,1.8592984714663787,1.8592984714663787,positive
diversified,1.833967223927812,1.833967223927812,positive
times day,1.8214955873199223,1.8214955873199223,positive
atm,1.795752800210635,1.795752800210635,positive
consultants,1.7613242809236527,1.7613242809236527,positive
confirmation number,1.7176868272691201,1.7176868272691201,positive
transunion bureau,1.685145005593308,1.685145005593308,positive
harassment,1.647529424155084,1.647529424155084,positive
refunds,1.6303655533302746,1.6303655533302746,positive
information result,1.6105432748332966,1.6105432748332966,positive
reported bureau,1.5787916945952465,1.5787916945952465,positive
damaging,1.5765288009480205,1.5765288009480205,positive
comenity,1.5667290892156107,1.5667290892156107,positive
offers,1.5449385190047482,1.5449385190047482,positive
phone numbers,1.5145830541289758,1.5145830541289758,positive
tax,1.5076411133609138,1.5076411133609138,positive
chance,1.5016081463391422,1.5016081463391422,positive
post office,1.492354506111421,1.492354506111421,positive
boa,1.477777459372259,1.477777459372259,positive
fraud alert,1.4703867430294917,1.4703867430294917,positive
proceeded,1.4431107262939697,1.4431107262939697,positive
syncb,1.4219711751966297,1.4219711751966297,positive
incorrect address,1.4170221766055926,1.4170221766055926,positive
settle,1.4145463386072608,1.4145463386072608,positive
docs,1.4134658703171235,1.4134658703171235,positive
fedloan,1.4069178085850844,1.4069178085850844,positive
local,1.4044552846276808,1.4044552846276808,positive
items reporting,1.4008005621163617,1.4008005621163617,positive
daily,1.3927706897216925,1.3927706897216925,positive
date reported,1.3703859754635597,1.3703859754635597,positive
statement did,1.3646133151605833,1.3646133151605833,positive
report inquiry,1.358184545785986,1.358184545785986,positive
reflect,1.329189824715478,1.329189824715478,positive
receive letter,1.3245785966852768,1.3245785966852768,positive
equifax,-4.191811108598887,4.191811108598887,negative
equifax data,-3.3209815419590782,3.3209815419590782,negative
systems,-3.156540565452284,3.156540565452284,negative
impacted equifax,-2.9358148091058993,2.9358148091058993,negative
authorization,-2.131001366188727,2.131001366188727,negative
lender,-1.89656566641974,1.89656566641974,negative
chime,-1.8072403529333192,1.8072403529333192,negative
approval,-1.7518530081436758,1.7518530081436758,negative
changed,-1.7384314428931078,1.7384314428931078,negative
email,-1.5713187312285712,1.5713187312285712,negative
scores,-1.5565144545560152,1.5565144545560152,negative
navient,-1.539135409850525,1.539135409850525,negative
derogatory,-1.5104586711847803,1.5104586711847803,negative
background,-1.506293390397521,1.506293390397521,negative
hsbc,-1.5006543721884589,1.5006543721884589,negative
attorney,-1.485385470056182,1.485385470056182,negative
notarized,-1.4761494599327518,1.4761494599327518,negative
policy,-1.4607823833103366,1.4607823833103366,negative
contracts,-1.4519352738184017,1.4519352738184017,negative
release,-1.444058652127706,1.444058652127706,negative
comply,-1.4435032228426727,1.4435032228426727,negative
disclosure,-1.4418313410138424,1.4418313410138424,negative
chexsystems,-1.4400046722010356,1.4400046722010356,negative
emailed,-1.4337858696257686,1.4337858696257686,negative
affirm,-1.4236561749789987,1.4236561749789987,negative
nelnet,-1.4061622830655858,1.4061622830655858,negative
reporting days,-1.3925964809284324,1.3925964809284324,negative
formal,-1.3779164938414974,1.3779164938414974,negative
confirming,-1.3776954080217318,1.3776954080217318,negative
bureaus experian,-1.3725967156265606,1.3725967156265606,negative
unverifiable,-1.3597368625598352,1.3597368625598352,negative
vehicle,-1.3582706574408063,1.3582706574408063,negative
letter requesting,-1.3514945268598426,1.3514945268598426,negative
checking report,-1.346581627567303,1.346581627567303,negative
needs removed,-1.3423790047809705,1.3423790047809705,negative
won,-1.3404808056332829,1.3404808056332829,negative
pulled,-1.3366376508477795,1.3366376508477795,negative
harming,-1.3260699467838521,1.3260699467838521,negative
convergent,-1.3162731998378208,1.3162731998378208,negative
ignoring,-1.3017914918614557,1.3017914918614557,negative
