feature,coef,abs_coef,direction
experian,3.860731851908617,3.860731851908617,positive
chase,3.3075965353071934,3.3075965353071934,positive
navient,3.1697168504333257,3.1697168504333257,positive
bankruptcy,3.120863937580168,3.120863937580168,positive
delete,2.8561603129030795,2.8561603129030795,positive
rights,2.8487543436177702,2.8487543436177702,positive
capital,2.8107161467491846,2.8107161467491846,positive
feel,2.643948913030126,2.643948913030126,positive
received letter,2.5586397159601213,2.5586397159601213,positive
multiple,2.5276610883773087,2.5276610883773087,positive
federal,2.504158729484652,2.504158729484652,positive
debts,2.478518062791261,2.478518062791261,positive
customer,2.471725829154252,2.471725829154252,positive
citibank,2.4572644936157655,2.4572644936157655,positive
removed,2.379469899260434,2.379469899260434,positive
validation debt,2.271165546659271,2.271165546659271,positive
state_UT,2.1211297715259905,2.1211297715259905,positive
trying collect,2.094292945238738,2.094292945238738,positive
decided,2.0778790554733573,2.0778790554733573,positive
late payment,2.075505034175038,2.075505034175038,positive
state_WI,2.0735546666384623,2.0735546666384623,positive
opened,2.0536636489016655,2.0536636489016655,positive
collection agency,2.039594991518198,2.039594991518198,positive
items,2.0388829398989836,2.0388829398989836,positive
receive,2.0301940969992986,2.0301940969992986,positive
days,2.0180143146592875,2.0180143146592875,positive
used,1.9751691044937274,1.9751691044937274,positive
approved,1.963588034796014,1.963588034796014,positive
allow,1.9509634036595853,1.9509634036595853,positive
portfolio,1.9432999017289838,1.9432999017289838,positive
job,1.9426863676839916,1.9426863676839916,positive
violations,1.9305707991055416,1.9305707991055416,positive
later,1.9186260281154452,1.9186260281154452,positive
portfolio recovery,1.9181777773722228,1.9181777773722228,positive
fdcpa,1.9075535533349852,1.9075535533349852,positive
times,1.8842088600627316,1.8842088600627316,positive
covered,1.8812182275354068,1.8812182275354068,positive
valid,1.8742897689064717,1.8742897689064717,positive
affidavit,1.871307950328007,1.871307950328007,positive
access,1.8709472331061845,1.8709472331061845,positive
positive,-4.509343948040382,4.509343948040382,negative
usc,-4.3707385299881665,4.3707385299881665,negative
forgiveness,-4.193856810928203,4.193856810928203,negative
open date,-4.093954089927384,4.093954089927384,negative
seen,-3.9019896261483535,3.9019896261483535,negative
directly,-3.826420315318897,3.826420315318897,negative
did remove,-3.7399949960914536,3.7399949960914536,negative
threatened,-3.7095615934010913,3.7095615934010913,negative
medical,-3.5550436812404906,3.5550436812404906,negative
regards,-3.5496188904794352,3.5496188904794352,negative
disputed bureaus,-3.4818818503717024,3.4818818503717024,negative
gave permission,-3.3911272159338326,3.3911272159338326,negative
background,-3.327246433156516,3.327246433156516,negative
report items,-3.309752909689698,3.309752909689698,negative
keeps,-3.3042851063529635,3.3042851063529635,negative
need removed,-3.2950746316386956,3.2950746316386956,negative
visit,-3.293676706902336,3.293676706902336,negative
know did,-3.2930234096985496,3.2930234096985496,negative
court,-3.2926880187551237,3.2926880187551237,negative
contact,-3.2497448533637763,3.2497448533637763,negative
office,-3.2058455846291505,3.2058455846291505,negative
removed report,-3.156398073723251,3.156398073723251,negative
old,-3.12171729295769,3.12171729295769,negative
processing,-3.111111805716606,3.111111805716606,negative
resolving,-3.084110104146368,3.084110104146368,negative
answered,-3.049547773567135,3.049547773567135,negative
persons,-3.027876022104814,3.027876022104814,negative
different,-3.0246701209894034,3.0246701209894034,negative
cell,-3.0004300778391952,3.0004300778391952,negative
permanent,-2.9810758388440024,2.9810758388440024,negative
using information,-2.957546477489488,2.957546477489488,negative
asap,-2.916756929882161,2.916756929882161,negative
getting,-2.8927337404904416,2.8927337404904416,negative
companies,-2.8774264153096096,2.8774264153096096,negative
family,-2.870659163730932,2.870659163730932,negative
business,-2.8275547573043274,2.8275547573043274,negative
place,-2.8146492424710208,2.8146492424710208,negative
afford,-2.795527849109422,2.795527849109422,negative
man,-2.794083754032359,2.794083754032359,negative
placing,-2.7898414120075716,2.7898414120075716,negative
