product_group,n,any_relief_rate,monetary_relief_rate,non_monetary_relief_rate,timely_rate,mean_words,legal_terms,template_phrases
Credit reporting,19547,0.29958561416074075,0.0017393973499769786,0.2978462168107638,0.996337752101924,153.43551440118688,2.6183557579168157,0.8245255026346754
Debt collection,5115,0.13176930596285436,0.008602150537634409,0.12316715542521994,0.9549655850540806,173.53822091886607,1.2574780058651027,0.17028347996089932
Credit card/prepaid,2368,0.31798986486486486,0.18876689189189189,0.12922297297297297,0.9914821124361158,222.68961148648648,0.33699324324324326,0.04983108108108108
Bank account,1858,0.2201291711517761,0.16953713670613563,0.05059203444564048,0.9847991313789359,233.51883745963403,0.18729817007534985,0.00968783638320775
Student loan,799,0.09762202753441802,0.02002503128911139,0.07759699624530664,0.979874213836478,239.11264080100125,0.17521902377972465,0.030037546933667083
Vehicle loan/lease,515,0.0970873786407767,0.03300970873786408,0.06407766990291262,0.9803921568627451,229.97864077669902,0.6679611650485436,0.0912621359223301
Mortgage,38,0.05263157894736842,0.0,0.05263157894736842,1.0,285.2368421052632,0.5789473684210527,0.18421052631578946
Money transfer,12,0.16666666666666666,0.08333333333333333,0.08333333333333333,,190.33333333333334,0.9166666666666666,0.0
Consumer loan,10,0.0,0.0,0.0,1.0,123.2,0.2,0.0
Other,1,0.0,0.0,0.0,,130.0,0.0,0.0
