company,n,share
"EQUIFAX, INC.",6002,0.1983279912764762
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",5695,0.18818359052308098
Experian Information Solutions Inc.,5109,0.16882001123484122
CAPITAL ONE FINANCIAL CORPORATION,759,0.025080130852856625
"CITIBANK, N.A.",631,0.0208505435680534
JPMORGAN CHASE & CO.,582,0.019231404685589665
"BANK OF AMERICA, NATIONAL ASSOCIATION",565,0.018669662624326736
WELLS FARGO & COMPANY,508,0.0167861745365628
SYNCHRONY FINANCIAL,416,0.013746158675610482
"Navient Solutions, LLC.",415,0.013713115024947957
"Bread Financial Holdings, Inc.",289,0.009549615041469782
PORTFOLIO RECOVERY ASSOCIATES INC,256,0.00845917456960645
AMERICAN EXPRESS COMPANY,254,0.0083930872682814
ENCORE CAPITAL GROUP INC.,205,0.006773948385817665
AES/PHEAA,198,0.006542642831179989
DISCOVER BANK,196,0.006476555529854939
U.S. BANCORP,168,0.005551333311304233
TD BANK US HOLDING COMPANY,167,0.005518289660641708
Resurgent Capital Services L.P.,166,0.0054852460099791825
BARCLAYS BANK DELAWARE,135,0.0044608928394409015
ALLY FINANCIAL INC.,129,0.00426263093546575
ERC,125,0.004130456332815649
"I.C. System, Inc.",124,0.004097412682153124
"Nelnet, Inc.",116,0.003833063476852923
Santander Consumer USA Holdings Inc.,106,0.0035026269702276708
NAVY FEDERAL CREDIT UNION,105,0.0034695833195651457
"Convergent Resources, Inc.",103,0.003403496018240095
PNC Bank N.A.,91,0.0030069722102897926
LEXISNEXIS,87,0.002874797607639692
Chime Financial Inc,86,0.002841753956977167
UNITED SERVICES AUTOMOBILE ASSOCIATION,85,0.0028087103063146415
CL Holdings LLC,83,0.0027426230049895912
"CCS Financial Services, Inc.",82,0.002709579354327066
TRANSWORLD SYSTEMS INC,81,0.002676535703664541
TRUIST FINANCIAL CORPORATION,76,0.002511317450351915
"National Credit Systems,Inc.",74,0.0024452301490268647
"HW Holding, Inc",61,0.002015662690414037
CREDIT ACCEPTANCE CORPORATION,61,0.002015662690414037
"CITIZENS FINANCIAL GROUP, INC.",58,0.0019165317384264614
"Paypal Holdings, Inc",55,0.0018174007864388859
"Commonwealth Financial Systems, Inc.",53,0.0017513134851138354
GOLDMAN SACHS BANK USA,52,0.0017182698344513103
"General Motors Financial Company, Inc.",48,0.0015860952318012093
AFNI INC.,47,0.0015530515811386842
"Diversified Consultants, Inc.",47,0.0015530515811386842
"National Credit Adjusters, LLC",46,0.001520007930476159
HSBC NORTH AMERICA HOLDINGS INC.,46,0.001520007930476159
"Kriya Capital, LLC",45,0.0014869642798136338
"Fidelity National Information Services, Inc. (FNIS)",43,0.0014208769784885835
"Genesis FS Card Services, Inc.",40,0.001321746026501008
