product,n,share
"Credit reporting, credit repair services, or other personal consumer reports",18866,0.6234015133992004
Debt collection,5115,0.16901827313881637
Credit card or prepaid card,2291,0.07570300366784523
Checking or savings account,1858,0.061395102930971814
Student loan,799,0.026401876879357633
Credit reporting or other personal consumer reports,680,0.022469682450517132
Vehicle loan or lease,515,0.017017480091200476
Credit card,76,0.002511317450351915
Mortgage,38,0.0012556587251759575
"Money transfer, virtual currency, or money service",11,0.00036348015728777716
"Payday loan, title loan, or personal loan",7,0.00023130555463767637
"Payday loan, title loan, personal loan, or advance loan",2,6.60873013250504e-05
Debt or credit management,1,3.30436506625252e-05
Prepaid card,1,3.30436506625252e-05
Credit reporting,1,3.30436506625252e-05
Consumer Loan,1,3.30436506625252e-05
Money transfers,1,3.30436506625252e-05
