state,n,share
FL,3695,0.1220962891980306
CA,3368,0.11129101543138487
TX,3174,0.10488054720285497
GA,2120,0.07005253940455342
NY,1802,0.0595446584938704
IL,1368,0.04520371410633447
PA,1340,0.04427849188778376
NC,1161,0.03836367841919175
NJ,920,0.03040015860952318
OH,806,0.026633182433995307
MD,780,0.025774047516769653
MI,726,0.023989690380993293
VA,725,0.023956646730330766
SC,605,0.019991408650827745
AZ,545,0.018008789611076232
LA,533,0.01761226580312593
TN,529,0.01748009120047583
NV,519,0.017149654693850578
AL,511,0.016885305488550374
MO,468,0.015464428510061792
MA,464,0.015332253907411691
IN,350,0.011565277731883818
WA,336,0.011102666622608465
CO,302,0.009979182500082609
AR,301,0.009946138849420083
MN,246,0.008128738062981198
MS,244,0.008062650761656147
CT,229,0.00756699600171827
WI,227,0.00750090870039322
UT,174,0.005749595215279384
KY,167,0.005518289660641708
DE,166,0.0054852460099791825
OK,159,0.005253940455341506
OR,155,0.005121765852691406
DC,133,0.004394805538115851
IA,98,0.0032382777649274694
NM,98,0.0032382777649274694
KS,89,0.0029408849089647424
HI,71,0.002346099197039289
RI,63,0.0020817499917390875
NE,55,0.0018174007864388859
ID,53,0.0017513134851138354
NH,52,0.0017182698344513103
Missing,52,0.0017182698344513103
WV,43,0.0014208769784885835
ME,43,0.0014208769784885835
PR,43,0.0014208769784885835
MT,33,0.0010904404718633314
AK,28,0.0009252222185507055
ND,25,0.0008260912665631299
